Word,POS Tag,def,ref,Hawkins
my,PRON,-,-,-
name,NOUN,-,-,-
is,AUX,-,-,-
michael,PROPN,-,-,-
and,CCONJ,-,-,-
iam,INTJ,-,-,-
a,DET,-,-,-
indef,pred/prop,indef,,
",",PUNCT,-,-,-
i,PRON,-,-,-
love,VERB,-,-,-
my,PRON,-,-,-
job,NOUN,-,-,-
because,SCONJ,-,-,-
is,AUX,-,-,-
not,PART,-,-,-
borying,VERB,-,-,-
iwork,NOUN,-,-,-
only,ADV,-,-,-
at,ADP,-,-,-
the,DET,-,-,-
weekend,NOUN,-,-,-
the,DET,-,-,-
def,ref,anaphoric,,
is,AUX,-,-,-
exciting,ADJ,-,-,-
becouse,SCONJ,-,-,-
your,PRON,-,-,-
always,ADV,-,-,-
with,ADP,-,-,-
prople,NOUN,-,-,-
and,CCONJ,-,-,-
every,DET,-,-,-
time,NOUN,-,-,-
your,PRON,-,-,-
on,ADP,-,-,-
the,DET,-,-,-
stage,NOUN,-,-,-
u,PRON,-,-,-
see,VERB,-,-,-
different,ADJ,-,-,-
typ,NOUN,-,-,-
of,ADP,-,-,-
faces,NOUN,-,-,-
and,CCONJ,-,-,-
that,PRON,-,-,-
makes,VERB,-,-,-
me,PRON,-,-,-
everyday,ADV,-,-,-
happy,ADJ,-,-,-
and,CCONJ,-,-,-
stronger,ADJ,-,-,-
-,-,-,-,-
,,,,
My,PRON,-,-,-
name,NOUN,-,-,-
is,AUX,-,-,-
Cindy,PROPN,-,-,-
",",PUNCT,-,-,-
Iam,PROPN,-,-,-
a,DET,-,-,-
indef,pred/prop,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
work,VERB,-,-,-
in,ADP,-,-,-
real,ADJ,-,-,-
estate,NOUN,-,-,-
indef,ref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
often,ADV,-,-,-
go,VERB,-,-,-
meeting,VERB,-,-,-
and,CCONJ,-,-,-
talk,VERB,-,-,-
on,ADP,-,-,-
the,DET,-,-,-
phone,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
always,ADV,-,-,-
sit,VERB,-,-,-
at,ADP,-,-,-
my,PRON,-,-,-
desk,NOUN,-,-,-
and,CCONJ,-,-,-
write,VERB,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
always,ADV,-,-,-
work,VERB,-,-,-
long,ADJ,-,-,-
hours,NOUN,-,-,-
but,CCONJ,-,-,-
it,PRON,-,-,-
is,AUX,-,-,-
interesing,ADJ,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
make,VERB,-,-,-
the,DET,-,-,-
sales,NOUN,-,-,-
def,nonref,explanatory,,
for,ADP,-,-,-
def,ref,explanatory,,
of,ADP,-,-,-
our,PRON,-,-,-
company,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
In,ADP,-,-,-
general,ADJ,-,-,-
I,PRON,-,-,-
like,VERB,-,-,-
my,PRON,-,-,-
job,NOUN,-,-,-
and,CCONJ,-,-,-
it,PRON,-,-,-
is,AUX,-,-,-
def,ref,situational,,
is,AUX,-,-,-
good,ADJ,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
,,,,
I,PRON,-,-,-
am,AUX,-,-,-
jornalist,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
work,VERB,-,-,-
writing,VERB,-,-,-
a,DET,-,-,-
indef,ref,indef,,
of,ADP,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
love,VERB,-,-,-
my,PRON,-,-,-
job,NOUN,-,-,-
because,SCONJ,-,-,-
it,PRON,-,-,-
is,AUX,-,-,-
rewarding,ADJ,-,-,-
",",PUNCT,-,-,-
funny,ADJ,-,-,-
",",PUNCT,-,-,-
exciting,ADJ,-,-,-
",",PUNCT,-,-,-
interesting,ADJ,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
Sometime,ADV,-,-,-
",",PUNCT,-,-,-
my,PRON,-,-,-
job,NOUN,-,-,-
is,AUX,-,-,-
tiring,VERB,-,-,-
",",PUNCT,-,-,-
but,CCONJ,-,-,-
never,ADV,-,-,-
boring,ADJ,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
work,VERB,-,-,-
long,ADJ,-,-,-
hours,NOUN,-,-,-
and,CCONJ,-,-,-
I,PRON,-,-,-
do,AUX,-,-,-
n't,PART,-,-,-
have,VERB,-,-,-
a,DET,-,-,-
take,NOUN,-,-,-
a,DET,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
Sometime,ADV,-,-,-
we,PRON,-,-,-
have,VERB,-,-,-
a,DET,-,-,-
indef,nonref,indef,,
and,CCONJ,-,-,-
a,DET,-,-,-
bussiness,NOUN,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
do,AUX,-,-,-
n't,PART,-,-,-
need,VERB,-,-,-
to,PART,-,-,-
clean,VERB,-,-,-
def,ref,situational,,
or,CCONJ,-,-,-
mop,VERB,-,-,-
the,DET,-,-,-
def,ref,situational,,
.,PUNCT,-,-,-
-,-,-,-,-
,,,,
I,PRON,-,-,-
work,VERB,-,-,-
for,ADP,-,-,-
a,DET,-,-,-
management,NOUN,-,-,-
machinebuilding,NOUN,-,-,-
indef,ref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
am,AUX,-,-,-
an,DET,-,-,-
aconomist,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
have,VERB,-,-,-
a,DET,-,-,-
lot,NOUN,-,-,-
of,ADP,-,-,-
work,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
make,VERB,-,-,-
difficult,ADJ,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
Sometimes,ADV,-,-,-
I,PRON,-,-,-
have,VERB,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
Rarely,ADV,-,-,-
I,PRON,-,-,-
go,VERB,-,-,-
to,ADP,-,-,-
business,NOUN,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
Always,ADV,-,-,-
I,PRON,-,-,-
talk,VERB,-,-,-
to,ADP,-,-,-
the,DET,-,-,-
phone,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
never,ADV,-,-,-
have,VERB,-,-,-
indef,nonref,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
I,PRON,-,-,-
help,VERB,-,-,-
indef,nonref,indef,,
and,CCONJ,-,-,-
people,NOUN,-,-,-
help,VERB,-,-,-
me,PRON,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
When,ADV,-,-,-
I,PRON,-,-,-
finish,VERB,-,-,-
my,PRON,-,-,-
work,NOUN,-,-,-
I,PRON,-,-,-
feel,VERB,-,-,-
very,ADV,-,-,-
tired,ADJ,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
,,,,
?,PUNCT,-,-,-
-,-,-,-,-
n,ADP,-,-,-
Wednesdays,PROPN,-,-,-
",",PUNCT,-,-,-
my,PRON,-,-,-
wife,NOUN,-,-,-
and,CCONJ,-,-,-
I,PRON,-,-,-
go,VERB,-,-,-
to,ADP,-,-,-
the,DET,-,-,-
movies,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
We,PRON,-,-,-
prefer,VERB,-,-,-
buy,VERB,-,-,-
indef,nonref,indef,,
for,ADP,-,-,-
the,DET,-,-,-
morning,NOUN,-,-,-
indef,nonref,indef,,
",",PUNCT,-,-,-
before,ADP,-,-,-
this,DET,-,-,-
time,NOUN,-,-,-
there,PRON,-,-,-
are,VERB,-,-,-
less,ADJ,-,-,-
people,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
,,,,
On,ADP,-,-,-
Fridey,PROPN,-,-,-
evening,NOUN,-,-,-
",",PUNCT,-,-,-
there,PRON,-,-,-
is,VERB,-,-,-
going,VERB,-,-,-
to,PART,-,-,-
be,VERB,-,-,-
the,DET,-,-,-
so??er,NOUN,-,-,-
indef,ref,indef,,
on,ADP,-,-,-
Centre,PROPN,-,-,-
stadium,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
 ,PUNCT,-,-,-
Play,VERB,-,-,-
def,ref,explanatory,,
of,ADP,-,-,-
Russia,PROPN,-,-,-
and,CCONJ,-,-,-
Germany,PROPN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
The,DET,-,-,-
def,ref,anaphoric,,
starts,VERB,-,-,-
at,ADP,-,-,-
7,NUM,-,-,-
p.m.,NOUN,-,-,-
def,ref,situational,,
is,AUX,-,-,-
2,NUM,-,-,-
000,NUM,-,-,-
rubles,NOUN,-,-,-
.,PUNCT,-,-,-
-,-,-,-,-
,,,,
I,PRON,-,-,-
work,VERB,-,-,-
in,ADP,-,-,-
Malata,PROPN,-,-,-
group,NOUN,-,-,-
in,ADP,-,-,-
Xiamen,PROPN,-,-,-
as,ADP,-,-,-
a,DET,-,-,-
mechanical,ADJ,-,-,-
indef,pred/prop,indef,,
.,PUNCT,-,-,-
-,-,-,-,-
AS,ADP,-,-,-
a,DET,-,-,-
mechanical,ADJ,-,-,-
indef,pred/prop,indef,,
I,PRON,-,-,-
have,VERB,-,-,-
several,ADJ,-,-,-
things,NOUN,-,-,-
