Word,POS Tag,Error,ref,Hawkins,Ntype,Abstract
my,PRON,-,-,-,-,-
name,NOUN,-,-,-,-,-
is,AUX,-,-,-,-,-
michael,PROPN,-,-,-,-,-
and,CCONJ,-,-,-,-,-
iam,INTJ,-,-,-,-,-
a,DET,-,-,-,-,-
musician,NOUN,correct,pred/prop,indef,sing,concr
",",PUNCT,-,-,-,-,-
i,PRON,-,-,-,-,-
love,VERB,-,-,-,-,-
my,PRON,-,-,-,-,-
job,NOUN,-,-,-,-,-
because,SCONJ,-,-,-,-,-
is,AUX,-,-,-,-,-
not,PART,-,-,-,-,-
borying,VERB,-,-,-,-,-
iwork,NOUN,-,-,-,-,-
only,ADV,-,-,-,-,-
at,ADP,-,-,-,-,-
the,DET,-,-,-,-,-
weekend,NOUN,-,-,-,-,-
the,DET,-,-,-,-,-
job,NOUN,correct,ref,anaphoric,sing,abstr
is,AUX,-,-,-,-,-
exciting,ADJ,-,-,-,-,-
becouse,SCONJ,-,-,-,-,-
your,PRON,-,-,-,-,-
always,ADV,-,-,-,-,-
with,ADP,-,-,-,-,-
prople,NOUN,-,-,-,-,-
and,CCONJ,-,-,-,-,-
every,DET,-,-,-,-,-
time,NOUN,-,-,-,-,-
your,PRON,-,-,-,-,-
on,ADP,-,-,-,-,-
the,DET,-,-,-,-,-
stage,NOUN,-,-,-,-,-
u,PRON,-,-,-,-,-
see,VERB,-,-,-,-,-
different,ADJ,-,-,-,-,-
typ,NOUN,-,-,-,-,-
of,ADP,-,-,-,-,-
faces,NOUN,-,-,-,-,-
and,CCONJ,-,-,-,-,-
that,PRON,-,-,-,-,-
makes,VERB,-,-,-,-,-
me,PRON,-,-,-,-,-
everyday,ADV,-,-,-,-,-
happy,ADJ,-,-,-,-,-
and,CCONJ,-,-,-,-,-
stronger,ADJ,-,-,-,-,-
-,-,-,-,-,-,-
,,,,,,
My,PRON,-,-,-,-,-
name,NOUN,-,-,-,-,-
is,AUX,-,-,-,-,-
Cindy,PROPN,-,-,-,-,-
",",PUNCT,-,-,-,-,-
Iam,PROPN,-,-,-,-,-
a,DET,-,-,-,-,-
manager,NOUN,correct,pred/prop,indef,sing,concr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
work,VERB,-,-,-,-,-
in,ADP,-,-,-,-,-
real,ADJ,-,-,-,-,-
estate,NOUN,-,-,-,-,-
company,NOUN,error,ref,indef,sing,concr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
often,ADV,-,-,-,-,-
go,VERB,-,-,-,-,-
meeting,VERB,-,-,-,-,-
and,CCONJ,-,-,-,-,-
talk,VERB,-,-,-,-,-
on,ADP,-,-,-,-,-
the,DET,-,-,-,-,-
phone,NOUN,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
always,ADV,-,-,-,-,-
sit,VERB,-,-,-,-,-
at,ADP,-,-,-,-,-
my,PRON,-,-,-,-,-
desk,NOUN,-,-,-,-,-
and,CCONJ,-,-,-,-,-
write,VERB,-,-,-,-,-
emails,NOUN,correct,nonref,indef,pl,concr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
always,ADV,-,-,-,-,-
work,VERB,-,-,-,-,-
long,ADJ,-,-,-,-,-
hours,NOUN,-,-,-,-,-
but,CCONJ,-,-,-,-,-
it,PRON,-,-,-,-,-
is,AUX,-,-,-,-,-
interesing,ADJ,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
make,VERB,-,-,-,-,-
the,DET,-,-,-,-,-
sales,NOUN,-,-,-,-,-
plan,NOUN,correct,nonref,explanatory,sing,abstr
for,ADP,-,-,-,-,-
products,NOUN,error,ref,explanatory,pl,concr
of,ADP,-,-,-,-,-
our,PRON,-,-,-,-,-
company,NOUN,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
In,ADP,-,-,-,-,-
general,ADJ,-,-,-,-,-
I,PRON,-,-,-,-,-
like,VERB,-,-,-,-,-
my,PRON,-,-,-,-,-
job,NOUN,-,-,-,-,-
and,CCONJ,-,-,-,-,-
it,PRON,-,-,-,-,-
is,AUX,-,-,-,-,-
money,NOUN,error,ref,situational,mass,concr
is,AUX,-,-,-,-,-
good,ADJ,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
,,,,,,
I,PRON,-,-,-,-,-
am,AUX,-,-,-,-,-
jornalist,NOUN,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
work,VERB,-,-,-,-,-
writing,VERB,-,-,-,-,-
a,DET,-,-,-,-,-
site,NOUN,correct,ref,indef,sing,concr
of,ADP,-,-,-,-,-
news,NOUN,correct,nonref,indef,pl,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
love,VERB,-,-,-,-,-
my,PRON,-,-,-,-,-
job,NOUN,-,-,-,-,-
because,SCONJ,-,-,-,-,-
it,PRON,-,-,-,-,-
is,AUX,-,-,-,-,-
rewarding,ADJ,-,-,-,-,-
",",PUNCT,-,-,-,-,-
funny,ADJ,-,-,-,-,-
",",PUNCT,-,-,-,-,-
exciting,ADJ,-,-,-,-,-
",",PUNCT,-,-,-,-,-
interesting,ADJ,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
Sometime,ADV,-,-,-,-,-
",",PUNCT,-,-,-,-,-
my,PRON,-,-,-,-,-
job,NOUN,-,-,-,-,-
is,AUX,-,-,-,-,-
tiring,VERB,-,-,-,-,-
",",PUNCT,-,-,-,-,-
but,CCONJ,-,-,-,-,-
never,ADV,-,-,-,-,-
boring,ADJ,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
work,VERB,-,-,-,-,-
long,ADJ,-,-,-,-,-
hours,NOUN,-,-,-,-,-
and,CCONJ,-,-,-,-,-
I,PRON,-,-,-,-,-
do,AUX,-,-,-,-,-
n't,PART,-,-,-,-,-
have,VERB,-,-,-,-,-
a,DET,-,-,-,-,-
take,NOUN,-,-,-,-,-
a,DET,-,-,-,-,-
break,NOUN,correct,nonref,indef,sing,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
Sometime,ADV,-,-,-,-,-
we,PRON,-,-,-,-,-
have,VERB,-,-,-,-,-
a,DET,-,-,-,-,-
meeting,NOUN,correct,nonref,indef,sing,abstr
and,CCONJ,-,-,-,-,-
a,DET,-,-,-,-,-
bussiness,NOUN,-,-,-,-,-
trip,NOUN,correct,nonref,indef,sing,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
do,AUX,-,-,-,-,-
n't,PART,-,-,-,-,-
need,VERB,-,-,-,-,-
to,PART,-,-,-,-,-
clean,VERB,-,-,-,-,-
desk,NOUN,error,ref,situational,sing,concr
or,CCONJ,-,-,-,-,-
mop,VERB,-,-,-,-,-
the,DET,-,-,-,-,-
floor,NOUN,correct,ref,situational,sing,concr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
,,,,,,
I,PRON,-,-,-,-,-
work,VERB,-,-,-,-,-
for,ADP,-,-,-,-,-
a,DET,-,-,-,-,-
management,NOUN,-,-,-,-,-
machinebuilding,NOUN,-,-,-,-,-
company,NOUN,correct,ref,indef,sing,concr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
am,AUX,-,-,-,-,-
an,DET,-,-,-,-,-
aconomist,NOUN,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
have,VERB,-,-,-,-,-
a,DET,-,-,-,-,-
lot,NOUN,-,-,-,-,-
of,ADP,-,-,-,-,-
work,NOUN,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
make,VERB,-,-,-,-,-
difficult,ADJ,-,-,-,-,-
tasks,NOUN,correct,nonref,indef,pl,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
Sometimes,ADV,-,-,-,-,-
I,PRON,-,-,-,-,-
have,VERB,-,-,-,-,-
meetings,NOUN,correct,nonref,indef,pl,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
Rarely,ADV,-,-,-,-,-
I,PRON,-,-,-,-,-
go,VERB,-,-,-,-,-
to,ADP,-,-,-,-,-
business,NOUN,-,-,-,-,-
trips,NOUN,correct,nonref,indef,pl,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
Always,ADV,-,-,-,-,-
I,PRON,-,-,-,-,-
talk,VERB,-,-,-,-,-
to,ADP,-,-,-,-,-
the,DET,-,-,-,-,-
phone,NOUN,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
never,ADV,-,-,-,-,-
have,VERB,-,-,-,-,-
breaks,NOUN,correct,nonref,indef,pl,abstr
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
I,PRON,-,-,-,-,-
help,VERB,-,-,-,-,-
people,NOUN,correct,nonref,indef,pl,concr
and,CCONJ,-,-,-,-,-
people,NOUN,-,-,-,-,-
help,VERB,-,-,-,-,-
me,PRON,-,-,-,-,-
.,PUNCT,-,-,-,-,-
-,-,-,-,-,-,-
When,ADV,-,-,-,-,-
I,PRON,-,-,-,-,-
